Date,Price,Open,High,Low
2025-01-24,222.78,224.78,225.63,221.41
2025-01-23,223.66,224.74,227.03,222.3
2025-01-22,223.83,219.79,224.12,219.79
2025-01-21,222.64,224.0,224.42,219.38
2025-01-17,229.98,232.12,232.29,228.48
2025-01-16,228.26,237.35,238.01,228.03
2025-01-15,237.87,234.64,238.96,234.43
2025-01-14,233.28,234.75,236.12,232.47
2025-01-13,234.4,233.53,234.67,229.72
2025-01-10,236.85,240.01,240.16,233.0
2025-01-08,242.7,241.92,243.71,240.05
2025-01-07,242.7,242.98,245.55,241.35
2025-01-06,242.21,244.31,247.33,243.2
2025-01-03,243.36,243.36,244.18,241.89
2025-01-02,243.36,248.93,249.1,241.82
2025-01-01,243.85,252.44,253.28,249.43
2024-12-31,250.42,252.44,253.28,249.43
2024-12-30,250.42,252.23,253.5,250.75
2024-12-27,252.2,257.83,258.7,253.06
2024-12-26,255.59,258.19,260.1,257.63
2024-12-24,258.2,255.49,258.21,255.29
2024-12-23,255.27,254.77,255.65,253.45
2024-12-20,254.49,248.04,255.0,245.69
2024-12-19,249.79,247.5,252.0,247.09
2024-12-18,248.05,252.16,254.28,247.74
2024-12-17,253.48,250.08,253.83,249.78
2024-12-16,251.04,247.99,251.38,247.65
2024-12-13,248.13,247.82,249.29,246.24
2024-12-12,247.96,246.89,248.74,245.68
2024-12-11,246.49,247.96,250.8,246.26
2024-12-10,247.77,246.89,248.21,245.34
2024-12-09,246.75,241.83,247.24,241.75
2024-12-06,242.84,242.91,244.63,242.08
2024-12-05,243.04,243.99,244.54,242.13
2024-12-04,243.01,242.87,244.11,241.25
2024-12-03,242.65,239.81,242.76,238.9
2024-12-02,239.59,237.27,240.79,237.16
2024-11-29,237.33,234.81,237.81,233.97
2024-11-27,234.93,234.47,235.69,233.81
2024-11-26,235.06,233.33,235.57,233.33
2024-11-25,232.87,231.46,233.25,229.74
2024-11-22,229.87,228.06,230.72,228.06
2024-11-21,228.52,228.88,230.16,225.71
2024-11-20,229.0,228.06,229.93,225.89
2024-11-19,228.28,226.98,230.16,226.66
2024-11-18,228.02,225.25,229.74,225.17
2024-11-15,225.0,226.4,226.92,224.27
2024-11-14,228.22,225.02,228.87,225.0
2024-11-13,225.12,224.01,226.65,222.76
2024-11-12,224.23,224.55,225.59,223.36
2024-11-11,224.23,225.0,225.7,221.5
2024-11-08,226.96,227.17,228.66,226.41
2024-11-07,227.48,224.63,227.88,224.57
2024-11-06,222.72,222.61,226.07,221.19
2024-11-05,223.45,221.8,223.95,221.14
2024-11-04,222.01,220.99,222.79,219.71
2024-11-01,222.91,220.97,225.35,220.27
2024-10-31,225.91,229.34,229.83,225.37
2024-10-30,230.1,232.61,233.47,229.55
2024-10-29,233.67,233.1,234.33,232.32
2024-10-28,233.4,233.32,234.73,232.55
2024-10-25,231.41,229.74,233.22,229.57
2024-10-24,230.57,229.98,230.82,228.41
2024-10-23,234.08,234.08,230.5,229.0
