Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Precipitation (%),Condition
2025-01-01,25.0,60.0,15.0,20.0,Sunny
2025-01-02,,65.0,12.0,,Cloudy
2025-01-03,30.0,70.0,,50.0,Rainy
2025-01-04,32.0,,8.0,70.0,
2025-01-05,,68.0,14.0,60.0,Sunny
2025-01-06,29.0,66.0,,40.0,Cloudy
2025-01-07,26.0,,13.0,30.0,Rainy
2025-01-08,24.0,61.0,11.0,25.0,Sunny
2025-01-09,31.0,71.0,9.0,,
2025-01-10,30.0,,17.0,65.0,Stormy
2025-01-11,,74.0,18.0,80.0,Cloudy
2025-01-12,35.0,75.0,12.0,,Stormy
2025-01-13,29.0,67.0,,50.0,Rainy
2025-01-14,,63.0,10.0,35.0,Sunny
2025-01-15,28.0,62.0,15.0,40.0,Cloudy
